date,close,currency
2023-01-03,2600.0,GBp
2023-01-04,2603.95,GBp
2023-01-05,2602.97,GBp
2023-01-06,2612.52,GBp
2023-01-09,2650.23,GBp
2023-01-10,2663.79,GBp
2023-01-11,2648.9,GBp
2023-01-12,2666.08,GBp
2023-01-13,2684.97,GBp
2023-01-16,2708.05,GBp
2023-01-17,2730.51,GBp
2023-01-18,2784.74,GBp
2023-01-19,2710.72,GBp
2023-01-20,2679.99,GBp
2023-01-23,2689.94,GBp
2023-01-24,2703.57,GBp
2023-01-25,2676.94,GBp
2023-01-26,2633.36,GBp
2023-01-27,2641.99,GBp
2023-01-30,2586.56,GBp
2023-01-31,2574.64,GBp
2023-02-01,2555.09,GBp
2023-02-02,2529.2,GBp
2023-02-03,2570.56,GBp
2023-02-06,2623.63,GBp
2023-02-07,2661.11,GBp
2023-02-08,2648.13,GBp
2023-02-09,2667.46,GBp
2023-02-10,2663.52,GBp
2023-02-13,2647.9,GBp
2023-02-14,2647.12,GBp
2023-02-15,2580.71,GBp
2023-02-16,2591.22,GBp
2023-02-17,2571.56,GBp
2023-02-20,2574.94,GBp
2023-02-21,2580.78,GBp
2023-02-22,2585.68,GBp
2023-02-23,2583.61,GBp
2023-02-24,2613.61,GBp
2023-02-27,2591.8,GBp
2023-02-28,2591.12,GBp
2023-03-01,2669.3,GBp
2023-03-02,2644.75,GBp
2023-03-03,2651.5,GBp
2023-03-06,2646.89,GBp
2023-03-07,2625.62,GBp
2023-03-08,2637.67,GBp
2023-03-09,2601.38,GBp
2023-03-10,2625.81,GBp
2023-03-13,2632.18,GBp
2023-03-14,2643.6,GBp
2023-03-15,2639.63,GBp
2023-03-16,2662.84,GBp
2023-03-17,2695.77,GBp
2023-03-20,2686.78,GBp
2023-03-21,2722.85,GBp
2023-03-22,2740.53,GBp
2023-03-23,2780.31,GBp
2023-03-24,2795.88,GBp
2023-03-27,2817.66,GBp
2023-03-28,2862.63,GBp
2023-03-29,2851.22,GBp
2023-03-30,2854.39,GBp
2023-03-31,2876.08,GBp
2023-04-03,2926.6,GBp
2023-04-04,2914.98,GBp
2023-04-05,2899.24,GBp
2023-04-06,2867.7,GBp
2023-04-07,2905.93,GBp
2023-04-10,2871.4,GBp
2023-04-11,2873.92,GBp
2023-04-12,2868.25,GBp
2023-04-13,2866.3,GBp
2023-04-14,2868.49,GBp
2023-04-17,2866.4,GBp
2023-04-18,2857.46,GBp
2023-04-19,2872.03,GBp
2023-04-20,2873.51,GBp
2023-04-21,2891.09,GBp
2023-04-24,2934.36,GBp
2023-04-25,2920.23,GBp
2023-04-26,2900.34,GBp
2023-04-27,2914.08,GBp
2023-04-28,2913.11,GBp
2023-05-01,2927.66,GBp
2023-05-02,2902.22,GBp
2023-05-03,2967.52,GBp
2023-05-04,3012.49,GBp
2023-05-05,3055.58,GBp
2023-05-08,3005.24,GBp
2023-05-09,3025.48,GBp
2023-05-10,3041.15,GBp
2023-05-11,3057.07,GBp
2023-05-12,3073.41,GBp
2023-05-15,3037.53,GBp
2023-05-16,3077.02,GBp
2023-05-17,3028.87,GBp
2023-05-18,3002.29,GBp
2023-05-19,2946.06,GBp
2023-05-22,2892.4,GBp
