date,close,currency
2023-01-03,2900.0,GBp
2023-01-04,2926.11,GBp
2023-01-05,2907.51,GBp
2023-01-06,2895.91,GBp
2023-01-09,2894.53,GBp
2023-01-10,2911.3,GBp
2023-01-11,2856.34,GBp
2023-01-12,2847.22,GBp
2023-01-13,2863.53,GBp
2023-01-16,2855.68,GBp
2023-01-17,2820.94,GBp
2023-01-18,2825.22,GBp
2023-01-19,2843.69,GBp
2023-01-20,2834.96,GBp
2023-01-23,2845.43,GBp
2023-01-24,2808.38,GBp
2023-01-25,2836.01,GBp
2023-01-26,2847.69,GBp
2023-01-27,2864.88,GBp
2023-01-30,2873.32,GBp
2023-01-31,2878.8,GBp
2023-02-01,2829.69,GBp
2023-02-02,2837.88,GBp
2023-02-03,2855.57,GBp
2023-02-06,2876.82,GBp
2023-02-07,2884.2,GBp
2023-02-08,2885.55,GBp
2023-02-09,2931.96,GBp
2023-02-10,2968.7,GBp
2023-02-13,2916.63,GBp
2023-02-14,2941.34,GBp
2023-02-15,2946.51,GBp
2023-02-16,2952.36,GBp
2023-02-17,2948.25,GBp
2023-02-20,2964.1,GBp
2023-02-21,2991.92,GBp
2023-02-22,3040.33,GBp
2023-02-23,3071.83,GBp
2023-02-24,3077.9,GBp
2023-02-27,3100.46,GBp
2023-02-28,3118.75,GBp
2023-03-01,3040.78,GBp
2023-03-02,3016.64,GBp
2023-03-03,2998.58,GBp
2023-03-06,3019.6,GBp
2023-03-07,3026.78,GBp
2023-03-08,3048.57,GBp
2023-03-09,3098.44,GBp
2023-03-10,3138.35,GBp
2023-03-13,3123.97,GBp
2023-03-14,3130.41,GBp
2023-03-15,3140.59,GBp
2023-03-16,3109.15,GBp
2023-03-17,3095.22,GBp
2023-03-20,3096.56,GBp
2023-03-21,3107.66,GBp
2023-03-22,3120.15,GBp
2023-03-23,3127.02,GBp
2023-03-24,3111.14,GBp
2023-03-27,3068.42,GBp
2023-03-28,3052.3,GBp
2023-03-29,2989.85,GBp
2023-03-30,2990.81,GBp
2023-03-31,3013.21,GBp
2023-04-03,3011.36,GBp
2023-04-04,3017.4,GBp
2023-04-05,3020.99,GBp
2023-04-06,3045.86,GBp
2023-04-07,3053.89,GBp
2023-04-10,3038.33,GBp
2023-04-11,3066.46,GBp
2023-04-12,3084.66,GBp
2023-04-13,3091.87,GBp
2023-04-14,3069.96,GBp
2023-04-17,3093.45,GBp
2023-04-18,3086.76,GBp
2023-04-19,3080.21,GBp
2023-04-20,3058.82,GBp
2023-04-21,3047.39,GBp
2023-04-24,3032.62,GBp
2023-04-25,3009.23,GBp
2023-04-26,2982.88,GBp
2023-04-27,2964.27,GBp
2023-04-28,2992.05,GBp
2023-05-01,3004.25,GBp
2023-05-02,2938.74,GBp
2023-05-03,2952.77,GBp
2023-05-04,2969.28,GBp
2023-05-05,2974.58,GBp
2023-05-08,3000.66,GBp
2023-05-09,3034.61,GBp
2023-05-10,3027.65,GBp
2023-05-11,3024.59,GBp
2023-05-12,3027.25,GBp
2023-05-15,3040.67,GBp
2023-05-16,3070.7,GBp
2023-05-17,3111.18,GBp
2023-05-18,3106.41,GBp
2023-05-19,3117.76,GBp
2023-05-22,3101.15,GBp
2023-05-23,3080.39,GBp
2023-05-24,3058.95,GBp
2023-05-25,3083.85,GBp
2023-05-26,3069.15,GBp
2023-05-29,3056.14,GBp
2023-05-30,3029.16,GBp
2023-05-31,3045.55,GBp
2023-06-01,3086.56,GBp
2023-06-02,3099.3,GBp
2023-06-05,3096.95,GBp
2023-06-06,3098.65,GBp
2023-06-07,3131.0,GBp
2023-06-08,3156.27,GBp
2023-06-09,3138.96,GBp
2023-06-12,3138.38,GBp
2023-06-13,3185.41,GBp
2023-06-14,3139.78,GBp
2023-06-15,3125.95,GBp
2023-06-16,3101.24,GBp
2023-06-19,3137.88,GBp
2023-06-20,3206.39,GBp
2023-06-21,3230.44,GBp
2023-06-22,3231.12,GBp
2023-06-23,3305.14,GBp
2023-06-26,3333.91,GBp
2023-06-27,3308.69,GBp
2023-06-28,3283.91,GBp
2023-06-29,3266.9,GBp
2023-06-30,3283.64,GBp
2023-07-03,3264.32,GBp
2023-07-04,3243.68,GBp
2023-07-05,3230.59,GBp
2023-07-06,3224.55,GBp
2023-07-07,3219.32,GBp
2023-07-10,3200.47,GBp
2023-07-11,3211.13,GBp
2023-07-12,3178.33,GBp
2023-07-13,3150.02,GBp
2023-07-14,3181.05,GBp
2023-07-17,3180.96,GBp
2023-07-18,3184.44,GBp
2023-07-19,3171.92,GBp
2023-07-20,3190.16,GBp
2023-07-21,3242.05,GBp
2023-07-24,3257.4,GBp
2023-07-25,3223.03,GBp
2023-07-26,3236.81,GBp
2023-07-27,3234.86,GBp
2023-07-28,3270.06,GBp
2023-07-31,3246.18,GBp
2023-08-01,3224.22,GBp
2023-08-02,3184.53,GBp
2023-08-03,3179.69,GBp
2023-08-04,3151.29,GBp
2023-08-07,3165.17,GBp
2023-08-08,3133.43,GBp
2023-08-09,3069.37,GBp
2023-08-10,3063.35,GBp
2023-08-11,3130.44,GBp
2023-08-14,3127.36,GBp
2023-08-15,3118.12,GBp
2023-08-16,3176.96,GBp
2023-08-17,3153.05,GBp
2023-08-18,3087.04,GBp
2023-08-21,3064.32,GBp
2023-08-22,3059.03,GBp
2023-08-23,3071.33,GBp
2023-08-24,3070.46,GBp
2023-08-25,3055.55,GBp
2023-08-28,3049.96,GBp
2023-08-29,3007.41,GBp
2023-08-30,3004.2,GBp
2023-08-31,2970.56,GBp
2023-09-01,2989.98,GBp
2023-09-04,3020.92,GBp
2023-09-05,3027.39,GBp
2023-09-06,3021.73,GBp
2023-09-07,3015.62,GBp
2023-09-08,3028.4,GBp
2023-09-11,3017.51,GBp
2023-09-12,2991.75,GBp
2023-09-13,3012.3,GBp
2023-09-14,3053.75,GBp
2023-09-15,3074.22,GBp
2023-09-18,3078.84,GBp
2023-09-19,3081.4,GBp
2023-09-20,3095.59,GBp
2023-09-21,3077.2,GBp
2023-09-22,3097.66,GBp
2023-09-25,3055.7,GBp
2023-09-26,3078.28,GBp
2023-09-27,3041.46,GBp
2023-09-28,3051.42,GBp
2023-09-29,3038.97,GBp
2023-10-02,3070.87,GBp
2023-10-03,3078.34,GBp
2023-10-04,3118.11,GBp
2023-10-05,3095.1,GBp
2023-10-06,3140.09,GBp
2023-10-09,3091.45,GBp
2023-10-10,3098.2,GBp
2023-10-11,3128.45,GBp
2023-10-12,3200.49,GBp
2023-10-13,3237.49,GBp
2023-10-16,3214.38,GBp
2023-10-17,3215.17,GBp
2023-10-18,3242.84,GBp
2023-10-19,3199.89,GBp
2023-10-20,3173.36,GBp
2023-10-23,3139.26,GBp
2023-10-24,3139.0,GBp
2023-10-25,3138.36,GBp
2023-10-26,3084.89,GBp
2023-10-27,3046.96,GBp
2023-10-30,3046.03,GBp
2023-10-31,2999.95,GBp
2023-11-01,2997.05,GBp
2023-11-02,2987.09,GBp
2023-11-03,2993.54,GBp
2023-11-06,2993.4,GBp
2023-11-07,2988.72,GBp
2023-11-08,3020.7,GBp
2023-11-09,2994.7,GBp
2023-11-10,2989.32,GBp
2023-11-13,3027.66,GBp
2023-11-14,3034.31,GBp
2023-11-15,3058.89,GBp
2023-11-16,3074.71,GBp
2023-11-17,3086.38,GBp
2023-11-20,3098.31,GBp
2023-11-21,3090.61,GBp
2023-11-22,3125.63,GBp
2023-11-23,3113.37,GBp
2023-11-24,3089.46,GBp
2023-11-27,3060.38,GBp
2023-11-28,3065.27,GBp
2023-11-29,3110.52,GBp
2023-11-30,3093.9,GBp
2023-12-01,3065.5,GBp
2023-12-04,3110.19,GBp
2023-12-05,3120.5,GBp
2023-12-06,3142.02,GBp
2023-12-07,3149.88,GBp
2023-12-08,3130.8,GBp
2023-12-11,3131.25,GBp
2023-12-12,3118.31,GBp
2023-12-13,3184.76,GBp
2023-12-14,3162.07,GBp
2023-12-15,3189.76,GBp
2023-12-18,3193.66,GBp
2023-12-19,3158.38,GBp
2023-12-20,3128.48,GBp
2023-12-21,3105.78,GBp
2023-12-22,3133.52,GBp
2023-12-25,3165.29,GBp
2023-12-26,3158.57,GBp
2023-12-27,3153.22,GBp
2023-12-28,3146.66,GBp
2023-12-29,3123.27,GBp
2024-01-01,3100.17,GBp
2024-01-02,3130.26,GBp
2024-01-03,3127.13,GBp
2024-01-04,3095.48,GBp
2024-01-05,3174.7,GBp
2024-01-08,3198.76,GBp
2024-01-09,3167.03,GBp
2024-01-10,3132.61,GBp
2024-01-11,3186.43,GBp
2024-01-12,3194.18,GBp
2024-01-15,3160.22,GBp
2024-01-16,3153.8,GBp
2024-01-17,3198.55,GBp
2024-01-18,3244.53,GBp
2024-01-19,3255.91,GBp
2024-01-22,3255.76,GBp
2024-01-23,3260.42,GBp
2024-01-24,3245.45,GBp
2024-01-25,3271.59,GBp
2024-01-26,3253.26,GBp
2024-01-29,3202.72,GBp
2024-01-30,3185.62,GBp
2024-01-31,3240.19,GBp
2024-02-01,3266.76,GBp
2024-02-02,3260.21,GBp
2024-02-05,3245.84,GBp
2024-02-06,3245.13,GBp
2024-02-07,3245.98,GBp
2024-02-08,3242.54,GBp
2024-02-09,3190.08,GBp
2024-02-12,3151.61,GBp
2024-02-13,3167.66,GBp
2024-02-14,3115.13,GBp
2024-02-15,3115.35,GBp
2024-02-16,3129.89,GBp
2024-02-19,3133.88,GBp
2024-02-20,3141.92,GBp
2024-02-21,3149.99,GBp
2024-02-22,3144.92,GBp
2024-02-23,3137.49,GBp
2024-02-26,3157.61,GBp
2024-02-27,3166.87,GBp
2024-02-28,3190.35,GBp
2024-02-29,3236.64,GBp
2024-03-01,3244.35,GBp
2024-03-04,3267.2,GBp
2024-03-05,3260.46,GBp
2024-03-06,3241.44,GBp
2024-03-07,3255.52,GBp
2024-03-08,3254.62,GBp
2024-03-11,3262.88,GBp
2024-03-12,3291.02,GBp
2024-03-13,3283.85,GBp
2024-03-14,3328.93,GBp
2024-03-15,3336.26,GBp
2024-03-18,3339.88,GBp
2024-03-19,3366.34,GBp
2024-03-20,3408.11,GBp
2024-03-21,3355.02,GBp
2024-03-22,3358.19,GBp
2024-03-25,3337.26,GBp
2024-03-26,3301.88,GBp
2024-03-27,3323.41,GBp
2024-03-28,3343.88,GBp
2024-03-29,3367.56,GBp
2024-04-01,3332.98,GBp
2024-04-02,3288.87,GBp
2024-04-03,3279.34,GBp
2024-04-04,3252.5,GBp
2024-04-05,3281.93,GBp
2024-04-08,3269.85,GBp
2024-04-09,3262.12,GBp
2024-04-10,3283.31,GBp
2024-04-11,3317.88,GBp
2024-04-12,3280.24,GBp
2024-04-15,3299.26,GBp
2024-04-16,3281.71,GBp
2024-04-17,3328.61,GBp
2024-04-18,3337.87,GBp
2024-04-19,3374.71,GBp
2024-04-22,3331.29,GBp
2024-04-23,3313.53,GBp
2024-04-24,3307.38,GBp
2024-04-25,3302.56,GBp
2024-04-26,3269.05,GBp
2024-04-29,3262.35,GBp
2024-04-30,3298.7,GBp
2024-05-01,3307.16,GBp
2024-05-02,3361.94,GBp
2024-05-03,3363.43,GBp
2024-05-06,3374.42,GBp
2024-05-07,3367.76,GBp
2024-05-08,3334.85,GBp
2024-05-09,3311.11,GBp
2024-05-10,3339.5,GBp
2024-05-13,3297.28,GBp
2024-05-14,3268.74,GBp
2024-05-15,3256.49,GBp
2024-05-16,3269.29,GBp
2024-05-17,3259.04,GBp
2024-05-20,3274.55,GBp
2024-05-21,3249.6,GBp
2024-05-22,3287.42,GBp
2024-05-23,3265.33,GBp
2024-05-24,3257.53,GBp
2024-05-27,3241.09,GBp
2024-05-28,3237.97,GBp
2024-05-29,3210.77,GBp
2024-05-30,3174.04,GBp
2024-05-31,3152.67,GBp
2024-06-03,3222.13,GBp
2024-06-04,3239.11,GBp
2024-06-05,3248.42,GBp
2024-06-06,3250.41,GBp
2024-06-07,3217.15,GBp
2024-06-10,3200.15,GBp
2024-06-11,3167.74,GBp
2024-06-12,3148.5,GBp
2024-06-13,3203.79,GBp
2024-06-14,3134.51,GBp
2024-06-17,3140.98,GBp
2024-06-18,3157.04,GBp
2024-06-19,3147.33,GBp
2024-06-20,3169.29,GBp
2024-06-21,3179.94,GBp
2024-06-24,3207.11,GBp
2024-06-25,3263.4,GBp
2024-06-26,3234.21,GBp
2024-06-27,3260.26,GBp
2024-06-28,3223.21,GBp
2024-07-01,3211.46,GBp
2024-07-02,3222.11,GBp
2024-07-03,3259.15,GBp
2024-07-04,3276.98,GBp
2024-07-05,3285.32,GBp
2024-07-08,3287.94,GBp
