date,close,currency
2023-01-03,68.0,GBP
2023-01-04,68.19,GBP
2023-01-05,68.36,GBP
2023-01-06,68.84,GBP
2023-01-09,68.93,GBP
2023-01-10,69.96,GBP
2023-01-11,69.11,GBP
2023-01-12,69.51,GBP
2023-01-13,69.18,GBP
2023-01-16,70.12,GBP
2023-01-17,70.76,GBP
2023-01-18,71.5,GBP
2023-01-19,70.88,GBP
2023-01-20,70.23,GBP
2023-01-23,69.78,GBP
2023-01-24,69.61,GBP
2023-01-25,68.43,GBP
2023-01-26,67.61,GBP
2023-01-27,67.94,GBP
2023-01-30,67.33,GBP
2023-01-31,67.16,GBP
2023-02-01,67.16,GBP
2023-02-02,66.54,GBP
2023-02-03,66.21,GBP
2023-02-06,67.29,GBP
2023-02-07,68.2,GBP
2023-02-08,68.94,GBP
2023-02-09,68.99,GBP
2023-02-10,68.56,GBP
2023-02-13,68.78,GBP
2023-02-14,69.29,GBP
2023-02-15,68.56,GBP
2023-02-16,68.47,GBP
2023-02-17,68.2,GBP
2023-02-20,68.6,GBP
2023-02-21,68.02,GBP
2023-02-22,69.4,GBP
2023-02-23,68.81,GBP
2023-02-24,70.24,GBP
2023-02-27,70.24,GBP
2023-02-28,70.16,GBP
2023-03-01,71.19,GBP
2023-03-02,70.08,GBP
2023-03-03,70.57,GBP
2023-03-06,71.69,GBP
2023-03-07,71.43,GBP
2023-03-08,72.41,GBP
2023-03-09,71.97,GBP
2023-03-10,72.7,GBP
2023-03-13,72.48,GBP
2023-03-14,73.13,GBP
2023-03-15,72.98,GBP
2023-03-16,72.86,GBP
2023-03-17,72.72,GBP
2023-03-20,71.88,GBP
2023-03-21,73.01,GBP
2023-03-22,73.58,GBP
2023-03-23,74.68,GBP
2023-03-24,75.43,GBP
2023-03-27,76.12,GBP
2023-03-28,75.08,GBP
2023-03-29,75.2,GBP
2023-03-30,74.89,GBP
2023-03-31,75.0,GBP
2023-04-03,74.92,GBP
2023-04-04,73.75,GBP
2023-04-05,72.47,GBP
2023-04-06,70.98,GBP
2023-04-07,71.83,GBP
2023-04-10,71.59,GBP
2023-04-11,70.72,GBP
2023-04-12,70.97,GBP
2023-04-13,70.64,GBP
2023-04-14,70.11,GBP
2023-04-17,70.32,GBP
2023-04-18,70.25,GBP
2023-04-19,69.73,GBP
2023-04-20,68.72,GBP
2023-04-21,68.62,GBP
2023-04-24,70.34,GBP
2023-04-25,70.27,GBP
2023-04-26,71.38,GBP
2023-04-27,72.25,GBP
2023-04-28,71.93,GBP
2023-05-01,70.44,GBP
2023-05-02,69.93,GBP
2023-05-03,70.1,GBP
2023-05-04,70.93,GBP
2023-05-05,70.69,GBP
2023-05-08,70.92,GBP
2023-05-09,72.18,GBP
2023-05-10,72.37,GBP
2023-05-11,72.41,GBP
2023-05-12,72.51,GBP
2023-05-15,71.19,GBP
2023-05-16,71.79,GBP
2023-05-17,70.38,GBP
2023-05-18,69.65,GBP
2023-05-19,68.04,GBP
2023-05-22,67.53,GBP
2023-05-23,67.97,GBP
2023-05-24,68.85,GBP
2023-05-25,69.61,GBP
2023-05-26,69.81,GBP
2023-05-29,68.63,GBP
2023-05-30,70.49,GBP
2023-05-31,70.3,GBP
2023-06-01,71.03,GBP
2023-06-02,71.36,GBP
2023-06-05,72.04,GBP
2023-06-06,71.35,GBP
2023-06-07,71.33,GBP
2023-06-08,71.65,GBP
2023-06-09,71.41,GBP
2023-06-12,71.53,GBP
2023-06-13,71.35,GBP
2023-06-14,70.12,GBP
2023-06-15,70.13,GBP
2023-06-16,70.21,GBP
2023-06-19,71.3,GBP
2023-06-20,71.17,GBP
2023-06-21,72.15,GBP
2023-06-22,72.39,GBP
2023-06-23,72.82,GBP
2023-06-26,71.92,GBP
2023-06-27,71.81,GBP
2023-06-28,71.08,GBP
2023-06-29,71.15,GBP
2023-06-30,70.89,GBP
2023-07-03,70.86,GBP
2023-07-04,70.62,GBP
2023-07-05,70.79,GBP
2023-07-06,70.06,GBP
2023-07-07,70.43,GBP
2023-07-10,70.65,GBP
2023-07-11,70.96,GBP
2023-07-12,70.61,GBP
2023-07-13,71.35,GBP
2023-07-14,71.85,GBP
2023-07-17,72.22,GBP
2023-07-18,73.02,GBP
2023-07-19,72.97,GBP
2023-07-20,73.29,GBP
2023-07-21,73.46,GBP
2023-07-24,74.16,GBP
2023-07-25,74.74,GBP
2023-07-26,74.78,GBP
2023-07-27,75.26,GBP
2023-07-28,75.58,GBP
2023-07-31,75.15,GBP
2023-08-01,76.12,GBP
2023-08-02,76.68,GBP
2023-08-03,76.93,GBP
2023-08-04,77.93,GBP
2023-08-07,76.64,GBP
2023-08-08,76.91,GBP
2023-08-09,76.75,GBP
2023-08-10,76.4,GBP
2023-08-11,76.5,GBP
2023-08-14,75.85,GBP
2023-08-15,76.23,GBP
2023-08-16,75.1,GBP
2023-08-17,74.49,GBP
2023-08-18,74.2,GBP
2023-08-21,75.24,GBP
2023-08-22,75.82,GBP
2023-08-23,76.27,GBP
2023-08-24,75.6,GBP
2023-08-25,75.76,GBP
2023-08-28,76.26,GBP
2023-08-29,75.68,GBP
2023-08-30,74.99,GBP
2023-08-31,76.29,GBP
2023-09-01,75.62,GBP
2023-09-04,75.2,GBP
2023-09-05,74.57,GBP
2023-09-06,74.46,GBP
2023-09-07,74.06,GBP
2023-09-08,74.46,GBP
2023-09-11,72.87,GBP
2023-09-12,72.05,GBP
2023-09-13,71.82,GBP
2023-09-14,71.23,GBP
2023-09-15,70.96,GBP
2023-09-18,71.05,GBP
2023-09-19,71.17,GBP
2023-09-20,70.99,GBP
2023-09-21,69.85,GBP
2023-09-22,69.67,GBP
2023-09-25,69.73,GBP
2023-09-26,68.53,GBP
2023-09-27,68.45,GBP
2023-09-28,67.87,GBP
2023-09-29,67.8,GBP
2023-10-02,68.22,GBP
2023-10-03,67.94,GBP
2023-10-04,67.27,GBP
2023-10-05,66.66,GBP
2023-10-06,66.51,GBP
2023-10-09,66.37,GBP
2023-10-10,66.28,GBP
2023-10-11,67.02,GBP
2023-10-12,67.01,GBP
2023-10-13,66.74,GBP
2023-10-16,65.79,GBP
2023-10-17,67.05,GBP
2023-10-18,67.36,GBP
2023-10-19,66.98,GBP
2023-10-20,66.53,GBP
2023-10-23,67.37,GBP
2023-10-24,67.6,GBP
2023-10-25,67.77,GBP
2023-10-26,66.87,GBP
2023-10-27,67.66,GBP
2023-10-30,67.23,GBP
2023-10-31,65.07,GBP
2023-11-01,64.67,GBP
2023-11-02,64.62,GBP
2023-11-03,64.73,GBP
2023-11-06,64.59,GBP
2023-11-07,63.75,GBP
2023-11-08,63.66,GBP
2023-11-09,63.03,GBP
2023-11-10,62.96,GBP
2023-11-13,63.84,GBP
2023-11-14,63.77,GBP
2023-11-15,63.11,GBP
2023-11-16,61.92,GBP
2023-11-17,62.66,GBP
2023-11-20,62.79,GBP
2023-11-21,63.43,GBP
2023-11-22,63.43,GBP
2023-11-23,62.5,GBP
2023-11-24,61.94,GBP
2023-11-27,61.32,GBP
2023-11-28,61.82,GBP
2023-11-29,61.54,GBP
2023-11-30,61.24,GBP
2023-12-01,61.5,GBP
2023-12-04,61.25,GBP
2023-12-05,61.76,GBP
2023-12-06,62.25,GBP
2023-12-07,62.35,GBP
2023-12-08,61.96,GBP
2023-12-11,62.25,GBP
2023-12-12,62.44,GBP
2023-12-13,62.19,GBP
2023-12-14,62.54,GBP
2023-12-15,62.84,GBP
2023-12-18,63.86,GBP
2023-12-19,63.3,GBP
2023-12-20,64.43,GBP
2023-12-21,63.89,GBP
2023-12-22,64.39,GBP
2023-12-25,64.87,GBP
2023-12-26,64.74,GBP
2023-12-27,64.56,GBP
2023-12-28,64.56,GBP
2023-12-29,64.88,GBP
2024-01-01,64.77,GBP
2024-01-02,64.89,GBP
2024-01-03,64.44,GBP
2024-01-04,64.43,GBP
2024-01-05,64.26,GBP
2024-01-08,64.37,GBP
2024-01-09,64.99,GBP
2024-01-10,65.16,GBP
2024-01-11,64.25,GBP
2024-01-12,64.38,GBP
2024-01-15,63.97,GBP
2024-01-16,63.63,GBP
2024-01-17,63.23,GBP
2024-01-18,64.0,GBP
2024-01-19,64.2,GBP
2024-01-22,64.51,GBP
2024-01-23,63.16,GBP
2024-01-24,63.0,GBP
2024-01-25,62.54,GBP
2024-01-26,62.67,GBP
2024-01-29,61.93,GBP
2024-01-30,62.41,GBP
2024-01-31,63.04,GBP
2024-02-01,63.15,GBP
2024-02-02,62.84,GBP
2024-02-05,62.48,GBP
2024-02-06,62.71,GBP
2024-02-07,61.64,GBP
2024-02-08,61.7,GBP
2024-02-09,62.48,GBP
2024-02-12,62.06,GBP
2024-02-13,62.78,GBP
2024-02-14,63.29,GBP
2024-02-15,62.33,GBP
2024-02-16,62.42,GBP
2024-02-19,62.33,GBP
2024-02-20,61.24,GBP
2024-02-21,63.15,GBP
2024-02-22,63.3,GBP
2024-02-23,64.18,GBP
2024-02-26,64.71,GBP
2024-02-27,65.22,GBP
2024-02-28,64.61,GBP
2024-02-29,65.05,GBP
2024-03-01,65.11,GBP
2024-03-04,64.29,GBP
2024-03-05,64.41,GBP
2024-03-06,65.36,GBP
2024-03-07,64.84,GBP
2024-03-08,63.74,GBP
2024-03-11,63.03,GBP
2024-03-12,63.39,GBP
2024-03-13,63.97,GBP
2024-03-14,63.93,GBP
2024-03-15,64.79,GBP
2024-03-18,66.69,GBP
2024-03-19,66.78,GBP
2024-03-20,67.98,GBP
2024-03-21,67.84,GBP
