date,close,currency
2023-01-03,95.0,GBP
2023-01-04,95.11,GBP
2023-01-05,95.29,GBP
2023-01-06,96.09,GBP
2023-01-09,96.55,GBP
2023-01-10,98.1,GBP
2023-01-11,97.04,GBP
2023-01-12,98.01,GBP
2023-01-13,98.45,GBP
2023-01-16,99.36,GBP
2023-01-17,100.24,GBP
2023-01-18,100.97,GBP
2023-01-19,100.43,GBP
2023-01-20,100.03,GBP
2023-01-23,100.34,GBP
2023-01-24,100.17,GBP
2023-01-25,98.65,GBP
2023-01-26,97.4,GBP
2023-01-27,97.57,GBP
2023-01-30,96.67,GBP
2023-01-31,96.5,GBP
2023-02-01,96.42,GBP
2023-02-02,95.44,GBP
2023-02-03,95.28,GBP
2023-02-06,96.8,GBP
2023-02-07,98.12,GBP
2023-02-08,98.16,GBP
2023-02-09,98.57,GBP
2023-02-10,98.44,GBP
2023-02-13,98.26,GBP
2023-02-14,98.92,GBP
2023-02-15,98.05,GBP
2023-02-16,97.79,GBP
2023-02-17,97.56,GBP
2023-02-20,98.42,GBP
2023-02-21,97.78,GBP
2023-02-22,99.64,GBP
2023-02-23,99.09,GBP
2023-02-24,100.95,GBP
2023-02-27,100.71,GBP
2023-02-28,100.95,GBP
2023-03-01,102.3,GBP
2023-03-02,100.42,GBP
2023-03-03,101.15,GBP
2023-03-06,102.75,GBP
2023-03-07,102.17,GBP
2023-03-08,102.67,GBP
2023-03-09,102.14,GBP
2023-03-10,102.85,GBP
2023-03-13,102.45,GBP
2023-03-14,103.65,GBP
2023-03-15,103.54,GBP
2023-03-16,103.3,GBP
2023-03-17,103.12,GBP
2023-03-20,102.14,GBP
2023-03-21,103.56,GBP
2023-03-22,104.11,GBP
2023-03-23,105.52,GBP
2023-03-24,106.72,GBP
2023-03-27,107.86,GBP
2023-03-28,106.91,GBP
2023-03-29,107.04,GBP
2023-03-30,106.77,GBP
2023-03-31,106.88,GBP
2023-04-03,106.95,GBP
2023-04-04,105.74,GBP
2023-04-05,104.43,GBP
2023-04-06,102.6,GBP
2023-04-07,103.54,GBP
2023-04-10,103.32,GBP
2023-04-11,102.63,GBP
2023-04-12,102.79,GBP
2023-04-13,102.33,GBP
2023-04-14,101.47,GBP
2023-04-17,101.05,GBP
2023-04-18,100.73,GBP
2023-04-19,99.84,GBP
2023-04-20,98.56,GBP
2023-04-21,98.77,GBP
2023-04-24,101.21,GBP
2023-04-25,101.24,GBP
2023-04-26,102.16,GBP
2023-04-27,103.31,GBP
2023-04-28,102.91,GBP
2023-05-01,101.27,GBP
2023-05-02,100.43,GBP
2023-05-03,100.72,GBP
2023-05-04,101.53,GBP
2023-05-05,101.53,GBP
2023-05-08,100.79,GBP
2023-05-09,102.35,GBP
2023-05-10,102.63,GBP
2023-05-11,102.54,GBP
2023-05-12,102.92,GBP
2023-05-15,100.86,GBP
2023-05-16,101.71,GBP
2023-05-17,100.06,GBP
2023-05-18,99.56,GBP
2023-05-19,98.06,GBP
2023-05-22,97.0,GBP
2023-05-23,97.24,GBP
2023-05-24,98.57,GBP
2023-05-25,99.18,GBP
2023-05-26,99.68,GBP
2023-05-29,97.93,GBP
2023-05-30,100.11,GBP
2023-05-31,99.92,GBP
2023-06-01,100.29,GBP
2023-06-02,101.5,GBP
2023-06-05,102.43,GBP
2023-06-06,101.52,GBP
2023-06-07,101.64,GBP
2023-06-08,102.38,GBP
2023-06-09,101.47,GBP
2023-06-12,101.64,GBP
2023-06-13,101.17,GBP
2023-06-14,99.46,GBP
2023-06-15,99.56,GBP
2023-06-16,99.53,GBP
2023-06-19,100.75,GBP
2023-06-20,100.86,GBP
2023-06-21,101.88,GBP
2023-06-22,102.25,GBP
2023-06-23,103.58,GBP
2023-06-26,101.64,GBP
2023-06-27,101.96,GBP
2023-06-28,101.36,GBP
2023-06-29,101.9,GBP
2023-06-30,102.03,GBP
2023-07-03,101.82,GBP
2023-07-04,101.58,GBP
2023-07-05,102.07,GBP
2023-07-06,101.92,GBP
2023-07-07,102.42,GBP
2023-07-10,102.81,GBP
2023-07-11,102.86,GBP
2023-07-12,102.57,GBP
2023-07-13,103.62,GBP
2023-07-14,104.0,GBP
2023-07-17,104.45,GBP
2023-07-18,105.94,GBP
2023-07-19,105.57,GBP
2023-07-20,106.07,GBP
2023-07-21,106.07,GBP
2023-07-24,107.32,GBP
2023-07-25,107.7,GBP
2023-07-26,107.16,GBP
2023-07-27,107.08,GBP
2023-07-28,107.63,GBP
2023-07-31,106.8,GBP
2023-08-01,107.3,GBP
2023-08-02,107.53,GBP
2023-08-03,107.41,GBP
2023-08-04,108.87,GBP
2023-08-07,107.74,GBP
2023-08-08,107.7,GBP
2023-08-09,107.52,GBP
2023-08-10,107.29,GBP
2023-08-11,106.85,GBP
2023-08-14,105.94,GBP
2023-08-15,106.63,GBP
2023-08-16,104.87,GBP
2023-08-17,104.15,GBP
2023-08-18,103.7,GBP
2023-08-21,104.88,GBP
2023-08-22,106.01,GBP
2023-08-23,106.4,GBP
2023-08-24,105.89,GBP
2023-08-25,105.93,GBP
2023-08-28,106.82,GBP
2023-08-29,106.34,GBP
2023-08-30,105.11,GBP
2023-08-31,106.73,GBP
2023-09-01,105.94,GBP
2023-09-04,105.46,GBP
2023-09-05,104.72,GBP
2023-09-06,104.86,GBP
2023-09-07,104.77,GBP
2023-09-08,105.93,GBP
2023-09-11,103.76,GBP
2023-09-12,102.92,GBP
2023-09-13,102.4,GBP
2023-09-14,101.71,GBP
2023-09-15,101.38,GBP
2023-09-18,101.75,GBP
2023-09-19,101.58,GBP
2023-09-20,101.49,GBP
2023-09-21,100.04,GBP
2023-09-22,99.61,GBP
2023-09-25,99.64,GBP
2023-09-26,98.11,GBP
2023-09-27,98.02,GBP
2023-09-28,97.46,GBP
2023-09-29,97.24,GBP
2023-10-02,97.42,GBP
2023-10-03,97.08,GBP
2023-10-04,96.44,GBP
2023-10-05,96.32,GBP
2023-10-06,96.06,GBP
