date,ticker,action,quantity,price,currency,fees,note
2023-01-03,,deposit,25000,1.0,GBP,0.0,initial lump sum
2023-01-03,VWRL.L,buy,115,95.0,GBP,0.0,
2023-01-03,EMIM.L,buy,96,2600.0,GBp,0.0,
2023-01-03,VUSA.L,buy,29,68.0,GBP,0.0,
2023-01-03,IGLT.L,buy,694,1080.0,GBp,0.0,
2023-01-03,SGLN.L,buy,43,2900.0,GBp,0.0,
2023-02-01,,deposit,400,1.0,GBP,0.0,monthly saving
2023-02-01,VWRL.L,buy,4,96.42,GBP,0.0,
2023-03-01,,deposit,400,1.0,GBP,0.0,monthly saving
2023-03-01,VWRL.L,buy,3,102.3,GBP,0.0,
2023-04-03,,deposit,400,1.0,GBP,0.0,monthly saving
2023-04-03,VWRL.L,buy,3,106.95,GBP,0.0,
2023-05-01,,deposit,400,1.0,GBP,0.0,monthly saving
2023-05-01,VWRL.L,buy,3,101.27,GBP,0.0,
2023-06-01,,deposit,400,1.0,GBP,0.0,monthly saving
2023-06-01,VWRL.L,buy,3,100.29,GBP,0.0,
2023-06-28,VWRL.L,dividend,1,45.0,GBP,0.0,quarterly dividend
2023-07-03,,deposit,400,1.0,GBP,0.0,monthly saving
2023-07-03,VWRL.L,buy,3,101.82,GBP,0.0,
2023-08-01,,deposit,400,1.0,GBP,0.0,monthly saving
2023-08-01,VWRL.L,buy,3,107.3,GBP,0.0,
2023-09-01,,deposit,400,1.0,GBP,0.0,monthly saving
2023-09-01,VWRL.L,buy,3,105.94,GBP,0.0,
2023-09-28,VWRL.L,dividend,1,45.0,GBP,0.0,quarterly dividend
2023-10-02,,deposit,400,1.0,GBP,0.0,monthly saving
2023-10-02,VWRL.L,buy,4,97.42,GBP,0.0,
2023-11-01,,deposit,400,1.0,GBP,0.0,monthly saving
2023-11-01,VWRL.L,buy,4,94.35,GBP,0.0,
2023-12-01,,deposit,400,1.0,GBP,0.0,monthly saving
2023-12-01,VWRL.L,buy,4,92.04,GBP,0.0,
